Model,CV_ROC_AUC,Test_ROC_AUC,Test_F1,Test_Precision,Test_Recall,Test_Specificity,Test_Accuracy
Logistic_Regression,0.8447320399907701,0.839769820971867,0.61875,0.5068259385665529,0.7941176470588235,0.7207729468599033,0.7402413058907026
Random_Forest,0.8451229230670375,0.8396548606267276,0.6155440414507772,0.5025380710659898,0.7941176470588235,0.7159420289855073,0.7366926898509581
XGBoost,0.8467119723587404,0.8422744064687799,0.6327800829875518,0.5169491525423728,0.8155080213903744,0.7246376811594203,0.7487579843860894
