mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3122322082519533,0.08139562763529008,0.10312457084655761,0.012399066034722324,,2,100,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8096109414634934,0.7868741214676943,0.8201331329875753,0.8114548494983278,0.8151193215595719,0.8086384733953326,0.011460307809100663,12
3.53438663482666,0.05690989469055281,0.1533522129058838,0.00979721259064112,,2,200,"{'model__max_depth': None, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8076842292343238,0.7891017562567658,0.8201189956861032,0.8120728515340991,0.8179502007902197,0.8093856067003025,0.011046343014227144,11
1.6991633415222167,0.07198861875415719,0.09220075607299805,0.00610868850934971,,5,100,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8161080412970773,0.7977537847575655,0.8322003296010858,0.8299625967395343,0.8327193021478285,0.8217488109086183,0.013450886665829385,10
3.1795536518096923,0.055905187334458234,0.1442195415496826,0.005384980150062968,,5,200,"{'model__max_depth': None, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8179479101029197,0.7994744963081446,0.8324951933174995,0.8288881618276702,0.8335281247851565,0.8224667772682782,0.012753210272028805,9
1.0272433757781982,0.01559762482067159,0.07113394737243653,0.001768779761066088,5,2,100,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8398910216017966,0.8312591892459567,0.841195692566203,0.8621067810576317,0.8500725918317003,0.8449050552606577,0.010466254048414083,4
1.9391095161437988,0.021000247017000363,0.112815523147583,0.003576443705248388,5,2,200,"{'model__max_depth': 5, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8392003134441699,0.8313480522837802,0.8411351041313233,0.8618745253905935,0.8515527372580104,0.8450221465015755,0.010607874255105334,3
1.033332347869873,0.023389768047286135,0.07388110160827636,0.006443610971306285,5,5,100,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8397819624190135,0.8315681902638423,0.841480458210137,0.862076486840192,0.8507075176020027,0.8451229230670375,0.010432020062997309,1
1.9609689712524414,0.018926182634374462,0.12391071319580078,0.020777803894961196,5,5,200,"{'model__max_depth': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8391276073223143,0.8313238169098282,0.8413814970998336,0.8616220735785954,0.8519470382937078,0.8450804066408558,0.01057486536918902,2
1.4485130786895752,0.14806497446324426,0.08295578956604004,0.009158696452875167,10,2,100,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.8322750553374372,0.8223728854636227,0.8445765272324819,0.8487631880826589,0.8497733274558888,0.8395521967144178,0.010607952624772269,8
2.878660726547241,0.16487013148816637,0.1256328582763672,0.0026706589952087624,10,2,200,"{'model__max_depth': 10, 'model__min_samples_split': 2, 'model__n_estimators': 200}",0.8330303911589356,0.8230191621023378,0.8454712164542033,0.8499507214062979,0.8513565977684583,0.8405656177780466,0.010892640310034687,7
1.4437397003173829,0.08664104104923555,0.08497343063354493,0.008722555420797183,10,5,100,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8348116911443945,0.8248246974617484,0.8431042282649089,0.8506373903349329,0.8505437310179438,0.8407843476447857,0.009880211736661829,5
2.4509695053100584,0.07930222236622574,0.0984116554260254,0.020293694753528515,10,5,200,"{'model__max_depth': 10, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.83378774659493,0.8245076179858788,0.8430557575170051,0.8513927261564312,0.8507681792998022,0.8407024055108095,0.010307518363243855,6
