mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.106024169921875,0.005415041130774733,0.03204660415649414,0.013437448592804218,0.01,l2,"{'model__C': 0.01, 'model__penalty': 'l2'}",0.8418621653498781,0.8214418431809736,0.8407352204611185,0.862749018467355,0.8444735171247973,0.8422523529168243,0.01311928444558303,4
0.14417757987976074,0.022839412395833647,0.026749134063720703,0.002196189124929472,0.1,l2,"{'model__C': 0.1, 'model__penalty': 'l2'}",0.844548252629538,0.820981371075889,0.842940639490734,0.8639405910199861,0.8483760863499047,0.8441573881132104,0.013769048987185582,3
0.13469457626342773,0.024957273896317998,0.02572016716003418,0.0022611658787298474,1.0,l2,"{'model__C': 1, 'model__penalty': 'l2'}",0.8448875478648635,0.8214862746998852,0.8424761281566575,0.8643081608582553,0.8490554973652602,0.8444427217889844,0.013762101522944117,2
0.1236649990081787,0.007367068133938508,0.02409019470214844,0.0024502021907555887,10.0,l2,"{'model__C': 10, 'model__penalty': 'l2'}",0.8456711582893058,0.8216316869435961,0.8416965569612072,0.8651523597175771,0.849508438042164,0.8447320399907701,0.014025162012582044,1
